feature1,feature2,feature3,target,piloto,equipo,tiempo,posicion,top3
,,,,Marc Márquez,Ducati,1.49,1.0,1.0
,,,,Franco Morbidelli,Ducati,1.493,2.0,1.0
,,,,Fabio Quartararo,Yamaha,1.496,3.0,1.0
,,,,Jack Miller,Yamaha,1.497,4.0,0.0
,,,,Marco Bezzecchi,Aprilia,1.497,5.0,0.0
,,,,Ai Ogura,Aprilia,1.498,6.0,0.0
,,,,Álex Márquez,Ducati,1.499,7.0,0.0
,,,,Miguel Oliveira,Yamaha,1.5,8.0,0.0
,,,,Francesco Bagnaia,Ducati,1.502,10.0,0.0
,,,,Johann Zarco,Honda,1.503,11.0,0.0
,,,,Luca Marini,Honda,1.504,12.0,0.0
,,,,Joan Mir,Honda,1.504,13.0,0.0
,,,,Fermín Aldeguer,Ducati,1.504,14.0,0.0
,,,,Alex Rins,Yamaha,1.505,15.0,0.0
,,,,Somkiat Chantra,Honda,1.507,17.0,0.0
,,,,Fabio Di Giannantonio,Ducati,1.509,18.0,0.0
,,,,Raúl Fernández,Aprilia,1.517,21.0,0.0
,,,,Lorenzo Savadori,Aprilia,1.53,22.0,0.0
,,,,Álex Márquez,Ducati,1.484,1.0,1.0
,,,,Marc Márquez,Ducati,1.485,2.0,1.0
,,,,Marco Bezzecchi,Aprilia,1.488,4.0,0.0
,,,,Franco Morbidelli,Ducati,1.489,5.0,0.0
,,,,Joan Mir,Honda,1.49,6.0,0.0
,,,,Raúl Fernández,Aprilia,1.491,7.0,0.0
,,,,Fabio Quartararo,Yamaha,1.492,8.0,0.0
,,,,Ai Ogura,Aprilia,1.494,9.0,0.0
,,,,Johann Zarco,Honda,1.494,10.0,0.0
,,,,Francesco Bagnaia,Ducati,1.496,13.0,0.0
,,,,Jack Miller,Yamaha,1.496,14.0,0.0
,,,,Fabio Di Giannantonio,Ducati,1.496,15.0,0.0
,,,,Luca Marini,Honda,1.497,16.0,0.0
,,,,Alex Rins,Yamaha,1.5,17.0,0.0
,,,,Miguel Oliveira,Yamaha,1.5,18.0,0.0
,,,,Fermín Aldeguer,Ducati,1.505,20.0,0.0
,,,,Somkiat Chantra,Honda,1.505,21.0,0.0
,,,,Lorenzo Savadori,Aprilia,1.517,22.0,0.0
,,,,Franco Morbidelli,Ducati,1.494,1.0,1.0
,,,,Marc Márquez,Ducati,1.495,2.0,1.0
,,,,Francesco Bagnaia,Ducati,1.5,3.0,1.0
,,,,Fermín Aldeguer,Ducati,1.5,4.0,0.0
,,,,Álex Márquez,Ducati,1.501,5.0,0.0
,,,,Ai Ogura,Aprilia,1.504,6.0,0.0
,,,,Johann Zarco,Honda,1.504,7.0,0.0
,,,,Fabio Di Giannantonio,Ducati,1.505,8.0,0.0
,,,,Somkiat Chantra,Honda,1.506,9.0,0.0
,,,,Fabio Quartararo,Yamaha,1.506,10.0,0.0
,,,,Joan Mir,Honda,1.507,11.0,0.0
,,,,Raúl Fernández,Aprilia,1.507,12.0,0.0
,,,,Luca Marini,Honda,1.508,13.0,0.0
,,,,Marco Bezzecchi,Aprilia,1.509,15.0,0.0
,,,,Jack Miller,Yamaha,1.509,16.0,0.0
,,,,Miguel Oliveira,Yamaha,1.509,17.0,0.0
,,,,Alex Rins,Yamaha,1.517,21.0,0.0
,,,,Lorenzo Savadori,Aprilia,1.532,22.0,0.0
,,,,Marc Márquez,Ducati,1.48,1.0,1.0
,,,,Álex Márquez,Ducati,1.482,2.0,1.0
,,,,Francesco Bagnaia,Ducati,1.483,3.0,1.0
,,,,Jack Miller,Yamaha,1.485,4.0,0.0
,,,,Ai Ogura,Aprilia,1.486,5.0,0.0
,,,,Raúl Fernández,Aprilia,1.49,7.0,0.0
